Scan #5954,
m/z,Intensity
55.05412292,31639.33008
57.06978226,80742.65625
67.05426788,32955.03516
69.06976318,107954.3438
71.08545685,51953.80078
77.0404892,6500.063965
79.05405426,18592.92969
81.06363678,9564.493164
81.06977844,267680.9063
82.07317352,6164.800293
83.08543396,149399.6719
85.10101318,19559.45117
91.0545578,14392.4248
93.06986237,73863.46875
95.08542633,331713.6563
95.09162903,5871.569336
96.08860779,13747.79297
97.10099792,115479.8047
99.16958618,6211.566895
105.070015,56045.96875
107.0853271,125073.7656
108.0882492,7717.129883
109.1010818,311635.75
110.1040039,16906.28711
111.116684,54066.43359
119.0854797,55875.40234
121.1010895,157006.9063
122.1042328,8240.820313
123.1167145,169014.4844
125.1324615,20776.92383
131.0855408,25295.66016
133.1009216,115502.6641
134.1040802,6620.629395
135.1166534,270236
136.120224,17449.29688
137.1322174,88556.57031
138.94841,7063.98291
145.1010284,66325.50781
147.1166992,358485.5938
148.1199646,20869.17969
149.1323395,210696.6094
150.1360474,14034.09766
151.1478424,56325.31641
157.1012878,9744.892578
159.1166382,187853.5313
160.120224,11162.96484
161.1150208,15320.27539
161.1323547,398051.875
162.1359253,34024.51563
163.147934,138677.5313
163.1629944,4092.048096
165.1634521,15344.16895
173.1322021,127792.6563
174.1355286,7815.274414
175.1332397,3946.96167
175.147934,177589.2969
176.1516876,14936.16211
177.1635284,89245.02344
178.1678619,6622.078613
179.1796265,13272.59082
185.1322327,22558.92383
187.1478271,82665.89063
189.163681,107962.2422
191.179718,48366.38672
193.1951141,9726.5625
199.1482849,48796.80078
200.1554871,12600.07129
201.1636353,108895.6406
202.0775604,209928.1406
202.1681671,8888.120117
203.0830688,28991.31836
203.179245,139351.3125
205.1951141,24631.58203
213.1637726,57551.16016
214.169632,10887.12305
215.1794281,115635.6875
216.182373,13347.95703
217.1947784,49169.46875
219.2105865,27084.21875
220.213623,8376.631836
221.1988678,6437.500977
221.224884,8339.401367
227.1791229,32267.01172
229.1949768,76285.69531
231.2107239,36564.58984
233.2265015,24672.21484
241.1952362,37771.28516
243.2106171,38748.49219
244.2145844,8067.395508
245.2268372,40319.85156
247.242569,17255.46289
254.2025299,9502.407227
255.2105713,75238.53125
256.2083435,7170.769531
257.2269287,68919.75
258.2283936,9855.490234
259.2411804,31710.19141
269.2268066,21018.04102
271.2418213,55147.72656
273.2578125,18572.5293
283.2416077,24248.23242
285.2571716,38248.85156
297.2575989,45063.27734
299.2734375,37078.18359
311.2732849,39924.8125
313.2892761,7353.072754
325.2876282,25632.01758
339.3077087,9042.966797
381.3513184,604972.75
381.4422913,9232.727539
382.3545837,103370.9688
396.5809937,6233.935547
