Scan #1672,
m/z,Intensity
55.05436707,38994.72266
57.03345871,134246.1719
64.51462555,18222.41797
69.06998444,37971.875
76.69904327,20826.78125
77.33805847,22710.4043
81.0699234,80379.47656
82.13552094,20890.73047
83.08545685,264875.2813
90.05490875,29483.4082
93.06983185,98243.90625
95.08540344,199411.8438
97.10088348,22202.26367
105.0699921,39431.51953
107.0854874,68904.125
109.0647278,20564.07031
109.1011505,92367.59375
111.0802765,668235.125
111.1165695,35132.25391
112.0835114,28794.91797
113.096199,64473.82422
119.0859756,50334.84375
121.1007843,119196.2344
123.1167603,165996.9219
131.085556,43794.37891
133.1012726,114963.3438
135.1169434,90936.96094
137.0963287,62358.98828
137.132431,25208.98242
139.1117249,70750.16406
141.1273193,642468
142.1314087,38703.39453
143.0848541,28814.45898
145.1014709,82870.39063
147.1167145,124015.7188
149.1327209,82072.33594
157.1011658,417182.5625
158.1053925,28291.53906
159.1161194,159562.375
161.0966644,34133.37891
161.1323395,106868.8438
163.1482391,47191.10156
171.1165314,50176.13672
173.1320648,114171.8438
175.1484528,73405.64063
177.1275024,58011.14063
177.1629028,19322.16992
183.1158295,36956.17188
184.1426849,19922.86914
185.1322327,35287.27734
187.1483917,65019.04688
189.1634216,50006.15625
197.1329956,68285.01563
199.1482544,57279.15234
201.164032,86954.52344
202.0539398,38770.94531
202.0775146,656927.5
203.081192,92668.57813
203.1444092,26149.56836
203.1795349,40314.30859
211.147995,65714.69531
213.163559,46382.26953
217.1586761,27952.44531
217.1954193,24253.78906
225.1635895,36557.03906
227.1786194,41249.87891
241.1951447,39689.08594
243.2114105,67855.17969
251.1790924,121476.4531
253.1950226,809045.125
254.1961365,90711.21094
255.2104187,110544.1875
269.1895142,49502.80859
269.3800659,19486.59961
271.205719,252879.1563
272.2092896,44628.35156
273.2204895,23320.30664
281.2260742,88339.91406
283.2417603,342837.875
284.2470703,33714.98438
287.2005005,74816.99219
289.2165222,54252.17578
293.2266541,156737.1719
294.2296448,22843.06055
301.2522583,56997.59375
311.236908,228131.625
329.2480774,60709.70703
375.307373,19968.31641
393.31427,53255.91406
411.324707,44626.24219
429.2645264,46842.37109
429.3366089,455235.5
430.3379822,52366.17969
